"additionalInfoDescription1","additionalInfoDescription2","additionalInfoDescription3","additionalInfoDescription4","additionalInfoDescription5","additionalInfoDescription6","additionalInfoTitle1","additionalInfoTitle2","additionalInfoTitle3","additionalInfoTitle4","additionalInfoTitle5","additionalInfoTitle6","collections","customTextCharLimit1","customTextCharLimit2","customTextField1","customTextField2","customTextMandatory1","customTextMandatory2","description","discountMode","discountValue","fieldType","handleIds","inventory","name","price","productImageUrl","productOptionDescription1","productOptionDescription2","productOptionDescription3","productOptionDescription4","productOptionDescription5","productOptionDescription6","productOptionName1","productOptionName2","productOptionName3","productOptionName4","productOptionName5","productOptionName6","productOptionType1","productOptionType2","productOptionType3","productOptionType4","productOptionType5","productOptionType6","ribbon","sku","surcharge","visible","weight"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a616","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Tear Drop Coin Purse","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a617","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a618","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e0","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e1","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e2","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e3","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e4","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Pleated Masks","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e5","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e6","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Tear Drop Coin Purse","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e7","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_2665719d-4e19-7420-6eac-ebb92df5b17e8","InStock","Minnie Mouse Easter","12.0","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d0","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","InStock","Pinnochio","10.0","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
