handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_96b96f00-1613-92d9-a9cd-61c45f15476d,Product,Hello Motorcycle Kitty,,a680d7_9addd8d68e124620a0b629f4ff5a6c2d~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a3e47555-9d75-e9fd-a574-e2b1342c444b,Product,Motorcycle Davidson,,a680d7_c15d98c5ffcd4a20aa2d40014104497c~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c812645b-790d-f580-2361-3e3c2f97b78a,Product,Motorcyle Gear,,a680d7_8449cecdab8a4668a0408c3418e77303~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a7cec795-2eac-9a5b-5737-87ddcf3b6a8e,Product,Karate Cobra,<p>Strike Hard Karate Cobra</p>,a680d7_e22a3918c04c439bad25081d00bfc179~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d541268b-7c32-494f-a434-6e2db8c942bc,Product,Wu Tang,,a680d7_56b5ee9a7b864a3d99f51f0f0e024a6d~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_020e2c54-89e7-50ca-d23e-d0fae4a47419,Product,Teeny Booper,<p>Perfect for any teeny booper.</p>,a680d7_62b2470b18d64b22815ede563c9e48db~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_80aa0604-6b8d-54ae-267a-0079a4887ef4,Product,The Mansion is Haunted,,a680d7_334df3f5cc40416eb86dd7815ec7d3fe~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9168c98d-2230-ee0b-868f-c125b64d6f4d,Product,"Lucy, I'm Home",,a680d7_d5aed2aa62844ec88c7ee181016cabab~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0e20b53-0853-6bc2-a6c2-66be4cef10e5,Product,It is a Scary Clown,<p>Scary clowns&nbsp;</p>,a680d7_941c371d36f54517af03397894dfec07~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_93b020b8-6338-9b88-9275-a582dc71f6e2,Product,Animated Characters,,a680d7_5af09f12efff4354a808f25808c6641d~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c9d6c56f-0ab5-f366-d9b9-b9ce1cff7d23,Product,Witches,,a680d7_25fc7ba9d8dd45479e5e718828286387~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a85cb912-12c1-a38b-09a7-d6886434405b,Product,Police Phone Booth,<p>Police phone booth</p>,a680d7_f288950ca95c4760beff1c8c9f2382d4~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_59f43b53-05c2-89c4-7c4f-e42edcf07f67,Product,Greys,"<p>Pick me, chose me.</p>",a680d7_044e3dba86e44e59a89d580104fd7c6a~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_53a3f6dc-d9f9-eb2a-a18e-62f9299236e7,Product,It's a Hogwarts Thing,,a680d7_a86d591f2ab743dd9302dbeadd502c8e~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68c934e6-35b5-b674-3fb4-cf8a5dc51517,Product,"Alice, that's not Wonderland",,a680d7_7671333c40d044c0a60222a7c83b5167~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4b16f4a1-0f16-b421-9276-1aee497d9d1c,Product,Just some Hocus Pocus Magic,,a680d7_98c5f17f5b7e4547b671f218b881df4b~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c9d4d827-ac78-8244-8fc4-981db0bb6498,Product,Mickey the Magician,,a680d7_5eb195d7bb59406ab7dcc2c321e5be29~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_35079fdc-cf37-29e9-4513-8cd5e8f603e9,Product,Splitting Seams _ NBC,<p>Silly Monsters&nbsp;</p>,a680d7_727902a78470453aac85b2d6d63179e0~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_71a0f6e1-b4aa-e558-6482-cfb36334aa1a,Product,Potter Lovers,<p>Will you be in Hufflepuff or Slytherin?</p>,a680d7_ba940fac9c224b9dbf153d6ea9682c5c~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_516a45af-6053-4366-f812-a618a13abc07,Product,It's Harry,<p>Ravenclaw or&nbsp;Gryffindor? Where will the sorting hat place you.</p>,a680d7_30f60dafadfc4e7b92ea77f50c692d12~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5cf5e0b4-858f-0f6e-c052-6da9eb4d9752,Product,Harley's Angels,<p>Motorcycle extroadinar with wings</p>,a680d7_edb2e8bc923d47e7b322e8c38836f245~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_331c30ee-68ba-d8fe-e6d8-035004c7e617,Product,Proud to be an American,<p>Proud to be an American. American Flags</p>,a680d7_a2f3098b4dce47cfa80b3f5b133e73b4~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f9a5da91-fe1c-45db-181e-bd4f678902de,Product,Sewing Ladies,"<p>Sewing, cutting and measuring. All in a days work.</p>",a680d7_17c8965ea01348e6b7ba1ba869ca5f5b~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
